1,北京,Beijing Time,288000,39.929985046387,116.3956451416
2,上海,Beijing Time,288000,31.24916267395,121.48789978027
3,广州,Beijing Time,288000,23.120048522949,113.30764770508
4,深圳,Beijing Time,288000,22.546054840088,114.02597045898
5,天津,Beijing Time,288000,39.143928527832,117.21081542969
6,西安,Beijing Time,288000,34.277801513672,108.95309448242
7,福州,Beijing Time,288000,26.047124862671,119.3302230835
8,重庆,Beijing Time,288000,29.544605255127,106.53063201904
9,杭州,Beijing Time,288000,30.259244918823,120.21937561035
10,宁波,Beijing Time,288000,29.885259628296,121.57900238037
11,无锡,Beijing Time,288000,31.570037841797,120.30545806885
12,南京,Beijing Time,288000,32.057235717773,118.77807617188
13,合肥,Beijing Time,288000,31.866941452026,117.28269958496
14,武汉,Beijing Time,288000,30.581083297729,114.31620025635
15,成都,Beijing Time,288000,30.679943084717,104.06792449951
16,青岛,Beijing Time,288000,36.105213165283,120.38442993164
17,厦门,Beijing Time,288000,24.489231109619,118.10388946533
18,大连,Beijing Time,288000,38.948711395264,121.5934753418
19,沈阳,Beijing Time,288000,41.808643341064,123.43279266357
20,长沙,Beijing Time,288000,28.213478088379,112.9793548584
21,郑州,Beijing Time,288000,34.756610870361,113.64964294434
22,石家庄,Beijing Time,288000,38.048957824707,114.52207946777
23,苏州,Beijing Time,288000,31.317987442017,120.61990356445
24,淄博,Beijing Time,288000,36.804683685303,118.05913543701
25,南通,Beijing Time,288000,32.014663696289,120.87380218506
26,南昌,Beijing Time,288000,28.689577102661,115.89353179932
27,保定,Beijing Time,288000,38.886566162109,115.49481201172
28,蚌埠,Beijing Time,288000,32.929500579834,117.35707855225
29,常州,Beijing Time,288000,31.771396636963,119.9818572998
30,大庆,Beijing Time,288000,46.596710205078,125.02184295654
31,东莞,Beijing Time,288000,23.04302406311,113.76343536377
32,佛山,Beijing Time,288000,23.035095214844,113.13402557373
33,桂林,Beijing Time,288000,25.262901306152,110.26091766357
34,海口,Beijing Time,288000,20.022071838379,110.33080291748
35,葫芦岛,Beijing Time,288000,40.743030548096,120.86075592041
36,济南,Beijing Time,288000,36.68278503418,117.02496337891
37,焦作,Beijing Time,288000,35.234607696533,113.21183776855
38,锦州,Beijing Time,288000,41.130878448486,121.14775085449
39,南宁,Beijing Time,288000,22.806493759155,108.29723358154
40,太原,Beijing Time,288000,37.890277862549,112.55086517334
41,芜湖,Beijing Time,288000,31.366020202637,118.38410949707
42,新乡,Beijing Time,288000,35.307258605957,113.91268920898
43,烟台,Beijing Time,288000,37.536563873291,121.30955505371
44,哈尔滨,Beijing Time,288000,45.773223876953,126.65771484375
45,廊坊,Beijing Time,288000,39.518611907959,116.70360565186
46,贵阳,Beijing Time,288000,26.629907608032,106.70917510986
47,珠海,Beijing Time,288000,22.256914138794,113.56244659424
48,齐齐哈尔,Beijing Time,288000,47.34769821167,123.98728942871
49,泉州,Beijing Time,288000,24.901651382446,118.60036468506
50,三亚,Beijing Time,288000,18.257776260376,109.52277374268
51,温州,Beijing Time,288000,28.002838134766,120.69063568115
52,中山,Beijing Time,288000,22.545177459717,113.42205810547
53,昆明,Beijing Time,288000,25.049152374268,102.71459960938
54,九江,Beijing Time,288000,29.719640731812,115.99984741211
55,长春,Beijing Time,288000,43.898338317871,125.31364440918
56,汕头,Beijing Time,288000,23.383907318115,116.7286529541
57,徐州,Beijing Time,288000,34.271553039551,117.18811035156
58,扬州,Beijing Time,288000,32.408504486084,119.42778015137
59,唐山,Beijing Time,288000,39.650531768799,118.1834487915
60,秦皇岛,Beijing Time,288000,39.945461273193,119.60437011719
61,邯郸,Beijing Time,288000,36.609306335449,114.4826965332
62,邢台,Beijing Time,288000,37.069530487061,114.52048492432
63,张家口,Beijing Time,288000,40.811187744141,114.89378356934
64,承德,Beijing Time,288000,40.992519378662,117.93382263184
65,沧州,Beijing Time,288000,38.29761505127,116.86380767822
66,衡水,Beijing Time,288000,37.746929168701,115.68622589111
67,大同,Beijing Time,288000,40.113742828369,113.29051208496
68,阳泉,Beijing Time,288000,37.869529724121,113.56923675537
69,长治,Beijing Time,288000,36.201663970947,113.12029266357
70,晋城,Beijing Time,288000,35.49983215332,112.8673324585
71,朔州,Beijing Time,288000,39.337673187256,112.47992706299
72,晋中,Beijing Time,288000,37.693363189697,112.73851776123
73,运城,Beijing Time,288000,35.038860321045,111.00685119629
74,忻州,Beijing Time,288000,38.461032867432,112.72793579102
75,临汾,Beijing Time,288000,36.099746704102,111.5387878418
76,吕梁,Beijing Time,288000,37.527317047119,111.14315795898
77,呼和浩特,Beijing Time,288000,40.828319549561,111.66035461426
78,包头,Beijing Time,288000,40.647117614746,109.84623718262
79,乌海,Beijing Time,288000,39.683177947998,106.83200073242
80,赤峰,Beijing Time,288000,42.29711151123,118.93076324463
81,通辽,Beijing Time,288000,43.633754730225,122.26036071777
82,鄂尔多斯,Beijing Time,288000,39.81649017334,109.99370574951
83,呼伦贝尔,Beijing Time,288000,49.201637268066,119.76081848145
84,巴彦淖尔,Beijing Time,288000,40.769180297852,107.42380523682
85,乌兰察布,Beijing Time,288000,41.022361755371,113.11284637451
86,兴安盟,Beijing Time,288000,46.077560424805,122.06703948975
87,锡林郭勒,Beijing Time,288000,43.933452606201,116.04822540283
88,阿拉善盟,Beijing Time,288000,38.851890563965,105.72896575928
89,鞍山,Beijing Time,288000,41.118743896484,123.00776672363
90,抚顺,Beijing Time,288000,41.877304077148,123.92981719971
91,本溪,Beijing Time,288000,41.325836181641,123.77806091309
92,丹东,Beijing Time,288000,40.129024505615,124.33854675293
